query_originale,adresse_normalisee,numero,rue,code_postal,ville,departement,longitude,latitude,score_geocodage,type_site,source,erreur,type_donnee,id_legacy,nom,prenom,email,telephone,date_embauche,Poste,type_contrat,tournee,salaire_brut,reference,designation,description,type,unite,prix_achat_ht,prix_vente_ht,taux_tva,client_id,raison_sociale,client_email,client_telephone,client_adresse,site_id,site_nom,site_adresse,site_ville,site_code_postal,client_created_at,nb_interventions_total,derniere_intervention,date_traitement
20 avenue de la République Paris,20 Avenue de la République 75011 Paris,20.0,Avenue De La République,75011,PARIS,75.0,2.368607,48.866242,0.98,bureau,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
15 rue du Commerce Lyon,15 Quai du Commerce 69009 Lyon,15.0,Quai Du Commerce,69009,LYON,69.0,4.811151,45.783104,0.602,commerce,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
3 boulevard Gambetta Marseille,3 Boulevard gambetta 13015 Marseille,3.0,Boulevard Gambetta,13015,MARSEILLE,13.0,5.343188,43.373851,0.969,bureau,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
10 rue des Fleurs Bordeaux,10 Rue Fleur de Lys 33370 Artigues-près-Bordeaux,10.0,Rue Fleur De Lys,33370,ARTIGUES-PRÈS-BORDEAUX,33.0,-0.481982,44.850078,0.514,entrepot,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
25 avenue Jean Jaurès Toulouse,25 Allées Jean Jaurès 31000 Toulouse,25.0,Allées Jean Jaurès,31000,TOULOUSE,31.0,1.449374,43.606553,0.612,bureau,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
8 place de la Mairie Nantes,8 Place de la Mairie 77100 Nanteuil-lès-Meaux,8.0,Place De La Mairie,77100,NANTEUIL-LÈS-MEAUX,77.0,2.896658,48.928545,0.643,commerce,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
12 rue Victor Hugo Lille,12 Rue Victor Hugo 76170 Lillebonne,12.0,Rue Victor Hugo,76170,LILLEBONNE,76.0,0.536034,49.517861,0.873,bureau,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
5 allée des Roses Strasbourg,5 Rue des Roses 67100 Strasbourg,5.0,Rue Des Roses,67100,STRASBOURG,67.0,7.759825,48.568932,0.667,entrepot,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
30 rue de la Paix Nice,30 Rue de la Paix 30900 Nîmes,30.0,Rue De La Paix,30900,NÎMES,30.0,4.348297,43.82911,0.714,bureau,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
18 boulevard du Général de Gaulle Rennes,18 Rue du Général de Gaulle 29290 Saint-Renan,18.0,Rue Du Général De Gaulle,29290,SAINT-RENAN,29.0,-4.624688,48.431605,0.534,commerce,api_adresse_gouv,,adresse_client,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0001,Antoine,Guillaume,schmittelise@example.com,04 11 83 38 82,2020-06-14,Agent de nettoyage,CDD,Est,1673.88,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0002,Delahaye,Grégoire,alphonseboulay@example.com,03 67 61 06 15,2017-11-13,Technicien de surface,CDI,Nord,2589.88,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0003,Hardy,Matthieu,roland98@example.org,04 26 52 66 76,2023-05-02,Responsable de secteur,CDD,Sud,3026.99,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0004,Riou,Claude,dorotheemasson@example.com,+3333746805352,2021-05-08,Agent de nettoyage,CDI,Centre,3446.23,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0005,Pineau,Adèle,sophie00@example.org,02 31 56 23 89,2018-03-07,Technicien de surface,CDI,Nord,2822.53,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0006,Boucher,Marine,gaudingeorges@example.com,03 76 70 15 34,2023-05-30,Agent polyvalent,CDI,Centre,2240.36,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0007,Delmas,Corinne,nathalie25@example.org,06 43 65 27 46,2023-01-06,Technicien de surface,CDI,Sud,1989.62,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0008,Buisson,Alexandria,caroline47@example.org,04 63 70 03 67,2020-11-11,Responsable de secteur,CDI,Ouest,1958.1,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0009,Valette,Édith,arnaude79@example.com,+33 (0)1 45 66 16 43,2019-10-17,Chef d'équipe,CDD,Nord,3329.1,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0010,Blanchet,Louise,helene94@example.com,02 78 56 17 96,2020-09-09,Technicien de surface,CDI,Centre,2223.99,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0011,Rey,Antoine,chantalbarthelemy@example.com,03 20 73 91 59,2019-07-12,Chef d'équipe,CDI,Est,1627.06,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0012,Lucas,Claire,beckeralex@example.net,03 73 18 89 72,2023-06-16,Agent de nettoyage,CDI,Nord,2033.65,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0013,Ruiz,Margot,antoine32@example.com,01 70 21 95 19,2023-01-13,Responsable de secteur,CDI,Nord,2515.36,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0014,Lecoq,Marcelle,daviddijoux@example.org,05 31 58 15 28,2024-11-22,Chef d'équipe,CDI,Ouest,3407.0,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0015,Dupuy,Daniel,agathe31@example.net,+33 (0)5 64 82 92 06,2021-08-14,Responsable de secteur,CDI,Sud,2115.03,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0016,Adam,Nath,rollandchristelle@example.net,05 79 82 34 38,2024-07-21,Agent de nettoyage,CDI,,1751.52,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0017,Roger,Stéphane,perrotoceane@example.net,02 29 78 26 02,2017-01-03,Chef d'équipe,CDI,Sud,2879.74,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0018,Riou,Marcel,astridnavarro@example.org,05 24 13 62 18,2020-10-11,Technicien de surface,Interim,,1628.05,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0019,Jacques,Célina,paulineloiseau@example.org,02 57 44 55 84,2024-07-27,Agent de nettoyage,CDI,Sud,3219.27,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0020,Reynaud,Robert,munozalain@example.com,01 82 76 41 85,2020-03-31,Technicien de surface,CDD,Est,2445.95,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0021,Tessier,Frédérique,rmallet@example.org,04 74 59 11 69,2019-11-27,Agent polyvalent,Interim,Sud,2846.73,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0022,Descamps,Patricia,humbertjoseph@example.net,02 52 36 23 34,2022-02-28,Chef d'équipe,CDI,Ouest,2343.76,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0023,Pages,Valentine,lorrainefaivre@example.org,+33 (0)2 85 07 81 00,2022-08-10,Agent de nettoyage,CDI,Sud,1529.52,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0024,Petit,Françoise,lainechantal@example.net,04 87 10 20 59,2021-07-27,Agent polyvalent,CDI,,1617.27,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0025,Blin,Gabrielle,benoitguerin@example.net,05 56 35 23 44,2019-08-14,Technicien de surface,Interim,Sud,1879.8,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0026,Lombard,Luce,aurelie25@example.net,,2024-08-19,Agent de nettoyage,CDI,Nord,3338.77,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0027,Henry,Henri,jules81@example.org,,2025-03-18,Technicien de surface,CDD,Sud,2307.55,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0028,Antoine,Denise,leonriou@example.net,05 47 23 29 55,2017-11-15,Technicien de surface,CDI,Sud,2021.53,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0029,Gonzalez,Alain,adriennerenard@example.org,04 92 83 93 07,2016-10-07,Agent polyvalent,CDD,Centre,1645.09,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0030,Maillot,Henri,fdelorme@example.com,02 54 52 90 60,2020-09-22,Technicien de surface,CDI,Ouest,3261.73,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0031,Techer,Brigitte,gosselinnath@example.net,+3333 (0)1 53 85 46 36,2025-02-10,Technicien de surface,CDI,Centre,2557.88,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0032,Rivière,Éric,mathieuaimee@example.org,+33 (0)1 76 97 56 82,2017-08-24,Responsable de secteur,CDI,Est,2606.45,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0033,Masson,Pénélope,fcarpentier@example.net,+33(0)383740046,2018-03-12,Technicien de surface,CDD,Centre,3192.21,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0034,Merle,Gérard,perrotluce@example.net,04 37 72 57 36,2025-02-12,Chef d'équipe,CDI,Nord,2982.46,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0035,Rémy,Laurence,clebrun@example.com,,2021-08-01,Technicien de surface,CDI,Est,2605.05,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0036,Pinto,Laure,laureguilbert@example.net,03 25 10 25 24,2021-05-01,Chef d'équipe,Interim,Ouest,2619.77,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0037,Lesage,Simone,poiriergeorges@example.org,,2017-06-11,Agent polyvalent,CDD,Est,2164.37,,,,,,,,,,,,,,,,,,,,,,2026-06-23
,,,,,,,,,,,,,salarie_legacy,EMP0038,Roche,Diane,smendes@example.net,+33 (0)4 73 42 58 15,,Agent de nettoyage,Interim,Est,2441.38,,,,,,,,,,,,,,,,,,,,,,2026-06-23
